"Date","Price","Open","High","Low","Vol.","Change %"
"18/12/2024","4.390","4.440","4.450","4.370","1.17M","-0.90%"
"17/12/2024","4.430","4.450","4.460","4.420","797.87K","-0.23%"
"16/12/2024","4.440","4.460","4.520","4.410","940.07K","-0.45%"
"13/12/2024","4.460","4.410","4.460","4.395","495.32K","-0.22%"
"12/12/2024","4.470","4.420","4.470","4.400","877.97K","1.36%"
"11/12/2024","4.410","4.350","4.420","4.350","1.49M","0.46%"
"10/12/2024","4.390","4.470","4.490","4.360","1.84M","-1.35%"
"09/12/2024","4.450","4.450","4.490","4.400","2.90M","-0.89%"
"06/12/2024","4.490","4.450","4.510","4.450","454.66K","-0.66%"
"05/12/2024","4.520","4.440","4.530","4.440","751.40K","0.67%"
"04/12/2024","4.490","4.450","4.500","4.440","399.40K","-0.22%"
"03/12/2024","4.500","4.550","4.565","4.490","522.48K","-0.88%"
"02/12/2024","4.540","4.500","4.550","4.495","707.50K","0.89%"
"29/11/2024","4.500","4.550","4.550","4.475","439.92K","-0.22%"
"28/11/2024","4.510","4.510","4.565","4.500","588.85K","0.22%"
"27/11/2024","4.500","4.400","4.520","4.380","1.05M","3.45%"
"26/11/2024","4.350","4.380","4.410","4.350","1.69M","-0.23%"
"25/11/2024","4.360","4.420","4.435","4.360","1.27M","-0.91%"
"22/11/2024","4.400","4.390","4.420","4.360","768.95K","0.69%"
"21/11/2024","4.370","4.450","4.450","4.340","907.70K","-1.58%"
"20/11/2024","4.440","4.500","4.530","4.400","765.90K","-1.99%"
"19/11/2024","4.530","4.510","4.580","4.500","954.15K","0.67%"
"18/11/2024","4.500","4.500","4.580","4.460","1.02M","1.12%"
"15/11/2024","4.450","4.440","4.490","4.410","794.99K","1.37%"
"14/11/2024","4.390","4.390","4.420","4.370","760.84K","0.46%"
"13/11/2024","4.370","4.310","4.385","4.310","761.91K","0.23%"
"12/11/2024","4.360","4.400","4.450","4.320","534.42K","-0.91%"
"11/11/2024","4.400","4.430","4.440","4.330","1.25M","-0.45%"
"08/11/2024","4.420","4.470","4.510","4.420","1.04M","-1.12%"
"07/11/2024","4.470","4.560","4.560","4.450","667.01K","-1.32%"
"06/11/2024","4.530","4.530","4.590","4.520","826.66K","0.44%"
"05/11/2024","4.510","4.520","4.540","4.500","289.17K","-0.22%"
"04/11/2024","4.520","4.550","4.550","4.490","356.32K","0.22%"
"01/11/2024","4.510","4.500","4.530","4.470","460.68K","-0.22%"
"31/10/2024","4.520","4.540","4.560","4.480","1.10M","-0.66%"
"30/10/2024","4.550","4.550","4.590","4.510","818.33K","0.22%"
"29/10/2024","4.540","4.500","4.560","4.465","1.73M","0.67%"
"28/10/2024","4.510","4.530","4.550","4.460","1.68M","-0.44%"
"25/10/2024","4.530","4.600","4.640","4.520","1.52M","-1.31%"
"24/10/2024","4.590","4.620","4.650","4.580","985.14K","-0.22%"
"23/10/2024","4.600","4.650","4.670","4.600","520.50K","-0.86%"
"22/10/2024","4.640","4.650","4.670","4.620","714.87K","-0.85%"
"21/10/2024","4.680","4.790","4.790","4.680","1.19M","-1.47%"
"18/10/2024","4.750","4.840","4.850","4.740","592.18K","-1.66%"
"17/10/2024","4.830","4.910","4.930","4.820","753.18K","-0.41%"
"16/10/2024","4.850","4.860","4.895","4.830","2.22M","-0.61%"
"15/10/2024","4.880","4.800","4.880","4.730","2.16M","0.00%"
"14/10/2024","4.880","5.170","5.170","4.880","1.16M","-4.13%"
"11/10/2024","5.090","5.030","5.110","5.020","1.12M","0.59%"
"10/10/2024","5.060","5.070","5.080","5.010","697.39K","0.80%"
"09/10/2024","5.020","5.050","5.070","5.010","683.55K","-0.40%"
